"Wavelength, µm","n","k"
0.21,1.804,-0.048
0.22,1.79,-0.035
0.23,1.78,-0.024
0.24,1.768,-0.017
0.25,1.763,-0.014
0.26,1.755,-0.008
0.27,1.751,-0.003
0.28,1.748,0
0.29,1.743,0.002
0.3,1.738,0.008
0.31,1.738,0.01
0.32,1.738,0.012
0.33,1.737,0.013
0.34,1.736,0.014
0.35,1.734,0.015
0.36,1.733,0.017
0.37,1.733,0.018
0.38,1.733,0.018
0.39,1.733,0.018
0.4,1.732,0.018
0.41,1.731,0.019
0.42,1.73,0.019
0.43,1.73,0.02
0.44,1.73,0.02
0.45,1.73,0.02
0.46,1.73,0.02
0.47,1.73,0.02
0.48,1.729,0.02
0.49,1.729,0.021
0.5,1.729,0.02
0.51,1.729,0.021
0.52,1.729,0.02
0.53,1.729,0.02
0.54,1.729,0.02
0.55,1.729,0.02
0.56,1.728,0.02
0.57,1.728,0.02
0.58,1.728,0.02
0.59,1.728,0.02
0.6,1.728,0.02
0.61,1.728,0.02
0.62,1.728,0.02
0.63,1.728,0.02
0.64,1.727,0.019
0.65,1.727,0.02
0.66,1.727,0.02
0.67,1.727,0.02
0.68,1.727,0.02
0.69,1.727,0.02
0.7,1.727,0.02
0.71,1.727,0.02
0.72,1.727,0.019
0.73,1.727,0.02
0.74,1.727,0.02
0.75,1.727,0.02
0.76,1.727,0.02
0.77,1.727,0.02
0.78,1.727,0.019
0.79,1.727,0.019
0.8,1.727,0.019
0.81,1.726,0.019
0.82,1.726,0.019
0.83,1.726,0.02
0.84,1.726,0.019
0.85,1.726,0.019
0.86,1.726,0.019
0.87,1.726,0.019
0.88,1.726,0.019
0.89,1.726,0.019
0.9,1.726,0.019
0.91,1.726,0.019
0.92,1.726,0.019
0.93,1.726,0.019
0.94,1.726,0.019
0.95,1.726,0.019
0.96,1.726,0.019
0.97,1.726,0.019
0.98,1.726,0.019
0.99,1.726,0.019
1,1.726,0.019
1.01,1.726,0.019
1.02,1.726,0.019
1.03,1.726,0.019
1.04,1.726,0.019
1.05,1.726,0.019
1.06,1.726,0.019
1.07,1.726,0.018
1.08,1.726,0.019
1.09,1.726,0.019
1.1,1.726,0.019
1.11,1.726,0.019
1.12,1.726,0.019
1.13,1.726,0.019
1.14,1.726,0.019
1.15,1.726,0.018
1.16,1.725,0.018
1.17,1.725,0.019
1.18,1.725,0.019
1.19,1.725,0.019
1.2,1.725,0.02
1.21,1.726,0.019
1.22,1.726,0.019
1.23,1.726,0.019
1.24,1.726,0.019
1.25,1.726,0.019
1.26,1.726,0.018
1.27,1.726,0.018
1.28,1.726,0.018
1.29,1.725,0.018
1.3,1.725,0.018
1.31,1.725,0.017
1.32,1.725,0.017
1.33,1.724,0.018
1.34,1.724,0.018
1.35,1.724,0.018
1.36,1.724,0.018
1.37,1.724,0.018
1.38,1.724,0.018
1.39,1.724,0.018
1.4,1.724,0.018
1.41,1.725,0.018
1.42,1.725,0.018
1.43,1.724,0.018
1.44,1.724,0.018
1.45,1.725,0.017
1.46,1.725,0.017
1.47,1.724,0.017
1.48,1.724,0.017
1.49,1.724,0.017
1.5,1.724,0.016
1.51,1.724,0.016
1.52,1.723,0.016
1.53,1.725,0.017
1.54,1.723,0.016
1.55,1.723,0.016
1.56,1.723,0.016
1.57,1.723,0.015
1.58,1.722,0.016
1.59,1.722,0.016
1.6,1.722,0.016
1.61,1.722,0.016
1.62,1.721,0.016
1.63,1.721,0.015
1.64,1.721,0.016
1.65,1.721,0.016
1.66,1.721,0.016
1.67,1.721,0.016
1.68,1.721,0.016
1.69,1.721,0.017
1.7,1.721,0.017
1.71,1.721,0.017
1.72,1.721,0.016
1.73,1.72,0.016
1.74,1.72,0.017
1.75,1.72,0.016
1.76,1.72,0.016
1.77,1.72,0.017
1.78,1.72,0.015
1.79,1.72,0.015
1.8,1.719,0.015
1.81,1.719,0.015
1.82,1.718,0.015
1.83,1.718,0.015
1.84,1.718,0.015
1.85,1.717,0.015
1.86,1.716,0.016
1.87,1.716,0.016
1.88,1.717,0.018
1.89,1.717,0.018
1.9,1.718,0.017
1.91,1.718,0.016
1.92,1.718,0.017
1.93,1.717,0.017
1.94,1.718,0.016
1.95,1.718,0.016
1.96,1.718,0.015
1.97,1.717,0.015
1.98,1.717,0.015
1.99,1.716,0.015
2,1.716,0.015
2.01,1.715,0.015
2.02,1.715,0.015
2.03,1.715,0.015
2.04,1.714,0.015
2.05,1.714,0.015
2.06,1.714,0.015
2.07,1.714,0.015
2.08,1.714,0.015
2.09,1.714,0.015
2.1,1.714,0.016
2.11,1.713,0.016
2.12,1.713,0.015
2.13,1.713,0.015
