wl,n,k
0.2114,2.57024,1.22E-01
0.21298,2.55799,1.15E-01
0.21456,2.54612,1.08E-01
0.21614,2.53462,1.01E-01
0.21772,2.52348,9.55E-02
0.2193,2.51268,9.00E-02
0.22089,2.50221,8.48E-02
0.22247,2.49205,8.01E-02
0.22405,2.4822,7.56E-02
0.22563,2.47264,7.15E-02
0.22721,2.46336,6.76E-02
0.2288,2.45435,6.40E-02
0.23038,2.4456,6.06E-02
0.23196,2.4371,5.75E-02
0.23354,2.42884,5.45E-02
0.23513,2.42082,5.18E-02
0.23671,2.41302,4.92E-02
0.23829,2.40543,4.67E-02
0.23987,2.39806,4.45E-02
0.24146,2.39088,4.23E-02
0.24304,2.3839,4.03E-02
0.24462,2.37711,3.84E-02
0.24621,2.3705,3.67E-02
0.24779,2.36407,3.50E-02
0.24937,2.3578,3.34E-02
0.25096,2.35169,3.19E-02
0.25254,2.34575,3.05E-02
0.25412,2.33995,2.92E-02
0.25571,2.33431,2.79E-02
0.25729,2.3288,2.67E-02
0.25887,2.32344,2.56E-02
0.26046,2.31821,2.46E-02
0.26204,2.3131,2.36E-02
0.26363,2.30813,2.26E-02
0.26521,2.30327,2.17E-02
0.2668,2.29853,2.08E-02
0.26838,2.29391,2.00E-02
0.26996,2.28939,1.92E-02
0.27155,2.28498,1.85E-02
0.27313,2.28068,1.78E-02
0.27472,2.27647,1.71E-02
0.2763,2.27237,1.65E-02
0.27789,2.26835,1.59E-02
0.27947,2.26443,1.53E-02
0.28106,2.2606,1.48E-02
0.28264,2.25686,1.43E-02
0.28423,2.25319,1.38E-02
0.28581,2.24961,1.33E-02
0.2874,2.24611,1.28E-02
0.28898,2.24269,1.24E-02
0.29057,2.23934,1.20E-02
0.29215,2.23606,1.16E-02
0.29374,2.23285,1.12E-02
0.29533,2.22971,1.09E-02
0.29691,2.22664,1.05E-02
0.2985,2.22363,1.02E-02
0.30008,2.22069,9.85E-03
0.30167,2.2178,9.54E-03
0.30325,2.21498,9.25E-03
0.30484,2.21221,8.96E-03
0.30643,2.2095,8.69E-03
0.30801,2.20685,8.43E-03
0.3096,2.20425,8.19E-03
0.31119,2.2017,7.95E-03
0.31277,2.1992,7.72E-03
0.31436,2.19675,7.49E-03
0.31595,2.19435,7.28E-03
0.31753,2.19199,7.08E-03
0.31912,2.18968,6.88E-03
0.3207,2.18742,6.69E-03
0.32229,2.1852,6.51E-03
0.32388,2.18302,6.33E-03
0.32547,2.18088,6.16E-03
0.32705,2.17878,6.00E-03
0.32864,2.17672,5.84E-03
0.33023,2.1747,5.69E-03
0.33181,2.17272,5.54E-03
0.3334,2.17077,5.40E-03
0.33499,2.16886,5.27E-03
0.33658,2.16699,5.13E-03
0.33816,2.16515,5.01E-03
0.33975,2.16334,4.88E-03
0.34134,2.16156,4.76E-03
0.34292,2.15981,4.65E-03
0.34451,2.1581,4.54E-03
0.3461,2.15641,4.43E-03
0.34769,2.15476,4.33E-03
0.34928,2.15313,4.23E-03
0.35086,2.15153,4.13E-03
0.35245,2.14996,4.03E-03
0.35404,2.14842,3.94E-03
0.35563,2.1469,3.85E-03
0.35721,2.14541,3.77E-03
0.3588,2.14394,3.68E-03
0.36039,2.1425,3.60E-03
0.36198,2.14108,3.53E-03
0.36357,2.13968,3.45E-03
0.36515,2.13831,3.38E-03
0.36674,2.13696,3.30E-03
0.36833,2.13563,3.23E-03
0.36992,2.13432,3.17E-03
0.37151,2.13304,3.10E-03
0.3731,2.13177,3.04E-03
0.37468,2.13052,2.98E-03
0.37627,2.1293,2.92E-03
0.37786,2.12809,2.86E-03
0.37945,2.1269,2.80E-03
0.38104,2.12574,2.75E-03
0.38263,2.12458,2.69E-03
0.38422,2.12345,2.64E-03
0.38581,2.12234,2.59E-03
0.38739,2.12124,2.54E-03
0.38898,2.12015,2.49E-03
0.39057,2.11909,2.45E-03
0.39216,2.11804,2.40E-03
0.39375,2.117,2.36E-03
0.39534,2.11598,2.32E-03
0.39693,2.11498,2.27E-03
0.39852,2.11399,2.23E-03
0.40011,2.11302,2.19E-03
0.40169,2.11206,2.15E-03
0.40328,2.11111,2.12E-03
0.40487,2.11018,2.08E-03
0.40646,2.10926,2.04E-03
0.40805,2.10835,2.01E-03
0.40964,2.10746,1.97E-03
0.41123,2.10658,1.94E-03
0.41282,2.10571,1.91E-03
0.41441,2.10485,1.88E-03
0.416,2.10401,1.85E-03
0.41759,2.10318,1.82E-03
0.41918,2.10236,1.79E-03
0.42077,2.10155,1.76E-03
0.42235,2.10075,1.73E-03
0.42394,2.09996,1.70E-03
0.42553,2.09918,1.68E-03
0.42712,2.09842,1.65E-03
0.42871,2.09766,1.62E-03
0.4303,2.09692,1.60E-03
0.43189,2.09618,1.57E-03
0.43348,2.09545,1.55E-03
0.43507,2.09474,1.53E-03
0.43666,2.09403,1.50E-03
0.43825,2.09333,1.48E-03
0.43984,2.09264,1.46E-03
0.44143,2.09196,1.44E-03
0.44302,2.09129,1.42E-03
0.44461,2.09063,1.40E-03
0.4462,2.08998,1.38E-03
0.44779,2.08933,1.36E-03
0.44938,2.08869,1.34E-03
0.45097,2.08806,1.32E-03
0.45256,2.08744,1.30E-03
0.45415,2.08683,1.28E-03
0.45574,2.08622,1.27E-03
0.45733,2.08562,1.25E-03
0.45892,2.08503,1.23E-03
0.46051,2.08445,1.21E-03
0.4621,2.08387,1.20E-03
0.46369,2.0833,1.18E-03
0.46528,2.08274,1.17E-03
0.46687,2.08219,1.15E-03
0.46846,2.08164,1.14E-03
0.47005,2.08109,1.12E-03
0.47164,2.08056,1.11E-03
0.47323,2.08003,1.09E-03
0.47482,2.0795,1.08E-03
0.47641,2.07899,1.07E-03
0.478,2.07848,1.05E-03
0.47959,2.07797,1.04E-03
0.48118,2.07747,1.03E-03
0.48277,2.07698,1.01E-03
0.48436,2.07649,1.00E-03
0.48595,2.07601,9.90E-04
0.48754,2.07553,9.78E-04
0.48913,2.07506,9.66E-04
0.49072,2.0746,9.55E-04
0.49231,2.07414,9.43E-04
0.4939,2.07368,9.32E-04
0.49549,2.07323,9.21E-04
0.49708,2.07279,9.11E-04
0.49867,2.07235,9.00E-04
0.50026,2.07191,8.90E-04
0.50185,2.07148,8.80E-04
0.50344,2.07106,8.70E-04
0.50503,2.07064,8.60E-04
0.50662,2.07022,8.51E-04
0.50821,2.06981,8.41E-04
0.5098,2.0694,8.32E-04
0.51139,2.069,8.23E-04
0.51298,2.0686,8.14E-04
0.51457,2.06821,8.05E-04
0.51616,2.06782,7.96E-04
0.51775,2.06743,7.88E-04
0.51934,2.06705,7.80E-04
0.52093,2.06667,7.71E-04
0.52252,2.0663,7.63E-04
0.52411,2.06593,7.55E-04
0.52569,2.06557,7.47E-04
0.52728,2.0652,7.40E-04
0.52887,2.06485,7.32E-04
0.53046,2.06449,7.25E-04
0.53205,2.06414,7.17E-04
0.53364,2.06379,7.10E-04
0.53523,2.06345,7.03E-04
0.53682,2.06311,6.96E-04
0.53841,2.06277,6.89E-04
0.54,2.06244,6.83E-04
0.54159,2.06211,6.76E-04
0.54318,2.06179,6.69E-04
0.54477,2.06146,6.63E-04
0.54636,2.06114,6.57E-04
0.54795,2.06083,6.50E-04
0.54954,2.06051,6.44E-04
0.55113,2.0602,6.38E-04
0.55272,2.0599,6.32E-04
0.55431,2.05959,6.26E-04
0.5559,2.05929,6.21E-04
0.55749,2.05899,6.15E-04
0.55908,2.0587,6.09E-04
0.56067,2.0584,6.04E-04
0.56226,2.05812,5.98E-04
0.56385,2.05783,5.93E-04
0.56544,2.05754,5.87E-04
0.56703,2.05726,5.82E-04
0.56861,2.05698,5.77E-04
0.5702,2.05671,5.72E-04
0.57179,2.05643,5.67E-04
0.57338,2.05616,5.62E-04
0.57497,2.0559,5.57E-04
0.57656,2.05563,5.52E-04
0.57815,2.05537,5.48E-04
0.57974,2.05511,5.43E-04
0.58133,2.05485,5.38E-04
0.58292,2.05459,5.34E-04
0.58451,2.05434,5.29E-04
0.5861,2.05409,5.25E-04
0.58768,2.05384,5.21E-04
0.58927,2.05359,5.16E-04
0.59086,2.05335,5.12E-04
0.59245,2.05311,5.08E-04
0.59404,2.05287,5.04E-04
0.59563,2.05263,5.00E-04
0.59722,2.05239,4.96E-04
0.59881,2.05216,4.92E-04
0.60039,2.05193,4.88E-04
0.60198,2.0517,4.84E-04
0.60357,2.05147,4.80E-04
0.60516,2.05125,4.77E-04
0.60675,2.05102,4.73E-04
0.60834,2.0508,4.69E-04
0.60993,2.05058,4.65E-04
0.61151,2.05037,4.62E-04
0.6131,2.05015,4.59E-04
0.61469,2.04994,4.55E-04
0.61628,2.04972,4.52E-04
0.61787,2.04951,4.48E-04
0.61946,2.04931,4.45E-04
0.62104,2.0491,4.42E-04
0.62263,2.0489,4.38E-04
0.62422,2.04869,4.35E-04
0.62581,2.04849,4.32E-04
0.6274,2.04829,4.29E-04
0.62898,2.0481,4.26E-04
0.63057,2.0479,4.23E-04
0.63216,2.04771,4.20E-04
0.63375,2.04751,4.17E-04
0.63533,2.04732,4.14E-04
0.63692,2.04713,4.11E-04
0.63851,2.04694,4.08E-04
0.6401,2.04676,4.05E-04
0.64168,2.04657,4.02E-04
0.64327,2.04639,3.99E-04
0.64486,2.04621,3.97E-04
0.64645,2.04603,3.94E-04
0.64803,2.04585,3.91E-04
0.64962,2.04567,3.89E-04
0.65121,2.0455,3.86E-04
0.6528,2.04532,3.84E-04
0.65438,2.04515,3.81E-04
0.65597,2.04498,3.78E-04
0.65756,2.04481,3.76E-04
0.65914,2.04464,3.73E-04
0.66073,2.04447,3.71E-04
0.66232,2.04431,3.69E-04
0.6639,2.04414,3.66E-04
0.66549,2.04398,3.64E-04
0.66708,2.04382,3.61E-04
0.66866,2.04365,3.59E-04
0.67025,2.04349,3.57E-04
0.67184,2.04334,3.55E-04
0.67342,2.04318,3.52E-04
0.67501,2.04302,3.50E-04
0.67659,2.04287,3.48E-04
0.67818,2.04272,3.46E-04
0.67977,2.04256,3.44E-04
0.68135,2.04241,3.42E-04
0.68294,2.04226,3.39E-04
0.68452,2.04211,3.37E-04
0.68611,2.04197,3.35E-04
0.6877,2.04182,3.33E-04
0.68928,2.04167,3.31E-04
0.69087,2.04153,3.29E-04
0.69245,2.04139,3.27E-04
0.69404,2.04124,3.26E-04
0.69562,2.0411,3.24E-04
0.69721,2.04096,3.22E-04
0.69879,2.04082,3.20E-04
0.70038,2.04069,3.18E-04
0.70196,2.04055,3.16E-04
0.70355,2.04041,3.14E-04
0.70513,2.04028,3.12E-04
0.70672,2.04015,3.11E-04
0.7083,2.04001,3.09E-04
0.70989,2.03988,3.07E-04
0.71147,2.03975,3.05E-04
0.71306,2.03962,3.04E-04
0.71464,2.03949,3.02E-04
0.71623,2.03936,3.00E-04
0.71781,2.03924,2.99E-04
0.7194,2.03911,2.97E-04
0.72098,2.03899,2.95E-04
0.72256,2.03886,2.94E-04
0.72415,2.03874,2.92E-04
0.72573,2.03862,2.91E-04
0.72732,2.03849,2.89E-04
0.7289,2.03837,2.87E-04
0.73048,2.03825,2.86E-04
0.73207,2.03813,2.84E-04
0.73365,2.03802,2.83E-04
0.73523,2.0379,2.81E-04
0.73682,2.03778,2.80E-04
0.7384,2.03767,2.79E-04
0.73998,2.03755,2.77E-04
0.74157,2.03744,2.76E-04
0.74315,2.03732,2.74E-04
0.74473,2.03721,2.73E-04
0.74631,2.0371,2.71E-04
0.7479,2.03699,2.70E-04
0.74948,2.03688,2.69E-04
0.75106,2.03677,2.67E-04
0.75264,2.03666,2.66E-04
0.75423,2.03655,2.64E-04
0.75581,2.03645,2.63E-04
0.75739,2.03634,2.62E-04
0.75897,2.03623,2.61E-04
0.76056,2.03613,2.59E-04
0.76214,2.03603,2.58E-04
0.76372,2.03592,2.57E-04
0.7653,2.03582,2.55E-04
0.76688,2.03572,2.54E-04
0.76846,2.03562,2.53E-04
0.77004,2.03551,2.52E-04
0.77163,2.03541,2.51E-04
0.77321,2.03532,2.49E-04
0.77479,2.03522,2.48E-04
0.77637,2.03512,2.47E-04
0.77795,2.03502,2.46E-04
0.77953,2.03492,2.45E-04
0.78111,2.03483,2.44E-04
0.78269,2.03473,2.43E-04
0.78427,2.03464,2.41E-04
0.78585,2.03454,2.40E-04
0.78743,2.03445,2.39E-04
0.78901,2.03436,2.38E-04
0.79059,2.03426,2.37E-04
0.79217,2.03417,2.36E-04
0.79375,2.03408,2.35E-04
0.79533,2.03399,2.34E-04
0.79691,2.0339,2.33E-04
0.79849,2.03381,2.32E-04
0.80007,2.03372,2.31E-04
0.80165,2.03363,2.30E-04
0.80323,2.03355,2.29E-04
0.80481,2.03346,2.28E-04
0.80639,2.03337,2.27E-04
0.80797,2.03329,2.26E-04
0.80955,2.0332,2.25E-04
0.81113,2.03312,2.24E-04
0.8127,2.03303,2.23E-04
0.81428,2.03295,2.22E-04
0.81586,2.03287,2.21E-04
0.81744,2.03278,2.20E-04
0.81902,2.0327,2.19E-04
0.82059,2.03262,2.18E-04
0.82217,2.03254,2.17E-04
0.82375,2.03246,2.16E-04
0.82533,2.03238,2.15E-04
0.82691,2.0323,2.14E-04
0.82848,2.03222,2.14E-04
0.83006,2.03214,2.13E-04
0.83164,2.03206,2.12E-04
0.83321,2.03198,2.11E-04
0.83479,2.03191,2.10E-04
0.83637,2.03183,2.09E-04
0.83794,2.03175,2.08E-04
0.83952,2.03168,2.07E-04
0.8411,2.0316,2.07E-04
0.84267,2.03153,2.06E-04
0.84425,2.03145,2.05E-04
0.84583,2.03138,2.04E-04
0.8474,2.0313,2.03E-04
0.84898,2.03123,2.03E-04
0.85055,2.03116,2.02E-04
0.85213,2.03108,2.01E-04
0.8537,2.03101,2.00E-04
0.85528,2.03094,1.99E-04
0.85686,2.03087,1.99E-04
