"Wavelength, µm",n,k
0.124,0.9010,1.49
0.124,0.9080,1.5
0.124,0.9150,1.5
0.125,0.9220,1.51
0.125,0.9290,1.52
0.125,0.9360,1.53
0.125,0.9430,1.53
0.126,0.9510,1.54
0.126,0.9590,1.55
0.126,0.9670,1.55
0.126,0.9750,1.56
0.126,0.9830,1.57
0.127,0.9910,1.58
0.127,1.0000,1.58
0.127,1.0100,1.59
0.127,1.0200,1.59
0.128,1.0300,1.6
0.128,1.0300,1.61
0.128,1.0400,1.61
0.128,1.0500,1.62
0.128,1.0600,1.62
0.129,1.0700,1.63
0.129,1.0800,1.64
0.129,1.0900,1.64
0.129,1.1000,1.65
0.130,1.1100,1.65
0.130,1.1200,1.66
0.130,1.1300,1.66
0.130,1.1400,1.66
0.131,1.1500,1.67
0.131,1.1600,1.67
0.131,1.1800,1.68
0.131,1.1900,1.68
0.132,1.2000,1.68
0.132,1.2100,1.68
0.132,1.2200,1.69
0.132,1.2300,1.69
0.133,1.2400,1.69
0.133,1.2500,1.69
0.133,1.2600,1.69
0.133,1.2700,1.7
0.134,1.2800,1.7
0.134,1.2900,1.7
0.134,1.3100,1.7
0.134,1.3200,1.7
0.135,1.3300,1.7
0.135,1.3400,1.7
0.135,1.3500,1.7
0.135,1.3600,1.7
0.136,1.3700,1.7
0.136,1.3800,1.69
0.136,1.3900,1.69
0.136,1.4000,1.69
0.137,1.4000,1.69
0.137,1.4100,1.69
0.137,1.4200,1.68
0.137,1.4300,1.68
0.138,1.4400,1.68
0.138,1.4500,1.68
0.138,1.4500,1.67
0.139,1.4600,1.67
0.139,1.4700,1.67
0.139,1.4700,1.67
0.139,1.4800,1.66
0.140,1.4900,1.66
0.140,1.4900,1.66
0.140,1.5000,1.65
0.140,1.5000,1.65
0.141,1.5100,1.65
0.141,1.5100,1.64
0.141,1.5200,1.64
0.142,1.5200,1.64
0.142,1.5200,1.64
0.142,1.5300,1.64
0.142,1.5300,1.63
0.143,1.5300,1.63
0.143,1.5300,1.63
0.143,1.5400,1.63
0.144,1.5400,1.63
0.144,1.5400,1.63
0.144,1.5400,1.63
0.145,1.5400,1.63
0.145,1.5400,1.63
0.145,1.5400,1.63
0.145,1.5500,1.63
0.146,1.5500,1.63
0.146,1.5500,1.64
0.146,1.5500,1.64
0.147,1.5500,1.64
0.147,1.5500,1.65
0.147,1.5500,1.65
0.148,1.5500,1.65
0.148,1.5600,1.66
0.148,1.5600,1.67
0.148,1.5600,1.67
0.149,1.5600,1.68
0.149,1.5700,1.69
0.149,1.5700,1.69
0.150,1.5700,1.7
0.150,1.5800,1.71
0.150,1.5800,1.72
0.151,1.5900,1.73
